,Edge,Min Odds Away,Min Odds Home,Max Odds Away,Max Odds Home,Profit,Percentage
232,4.0,-1000.0,-500.0,125.0,125.0,-115.79999999999995,0.45
233,4.0,-1000.0,-500.0,125.0,0.0,-58.799999999999955,0.48
234,4.0,-1000.0,-500.0,0.0,1000.0,-544.8,0.31
235,4.0,-1000.0,-500.0,0.0,600.0,-544.8,0.31
236,4.0,-1000.0,-500.0,0.0,500.0,-544.8,0.31
237,4.0,-1000.0,-500.0,0.0,400.0,-544.8,0.31
238,4.0,-1000.0,-500.0,0.0,300.0,-588.8,0.31
239,4.0,-1000.0,-500.0,0.0,200.0,-555.8,0.31
240,4.0,-1000.0,-500.0,0.0,150.0,-183.79999999999995,0.39
241,4.0,-1000.0,-500.0,0.0,125.0,-81.79999999999995,0.45
242,4.0,-1000.0,-500.0,0.0,0.0,-24.799999999999955,0.55
243,4.0,-1000.0,-400.0,1000.0,1000.0,-455.79999999999995,0.34
244,4.0,-1000.0,-400.0,1000.0,600.0,-455.79999999999995,0.34
245,4.0,-1000.0,-400.0,1000.0,500.0,-455.79999999999995,0.34
246,4.0,-1000.0,-400.0,1000.0,400.0,-455.79999999999995,0.34
247,4.0,-1000.0,-400.0,1000.0,300.0,-499.8,0.34
248,4.0,-1000.0,-400.0,1000.0,200.0,-466.79999999999995,0.34
249,4.0,-1000.0,-400.0,1000.0,150.0,-94.79999999999995,0.36
250,4.0,-1000.0,-400.0,1000.0,125.0,7.2000000000000455,0.36
251,4.0,-1000.0,-400.0,1000.0,0.0,64.20000000000005,0.36
252,4.0,-1000.0,-400.0,600.0,1000.0,-716.8,0.33
253,4.0,-1000.0,-400.0,600.0,600.0,-716.8,0.33
254,4.0,-1000.0,-400.0,600.0,500.0,-716.8,0.33
255,4.0,-1000.0,-400.0,600.0,400.0,-716.8,0.33
256,4.0,-1000.0,-400.0,600.0,300.0,-760.8,0.33
257,4.0,-1000.0,-400.0,600.0,200.0,-727.8,0.34
258,4.0,-1000.0,-400.0,600.0,150.0,-355.79999999999995,0.35
259,4.0,-1000.0,-400.0,600.0,125.0,-253.79999999999995,0.35
260,4.0,-1000.0,-400.0,600.0,0.0,-196.79999999999995,0.35
261,4.0,-1000.0,-400.0,500.0,1000.0,-716.8,0.33
262,4.0,-1000.0,-400.0,500.0,600.0,-716.8,0.33
263,4.0,-1000.0,-400.0,500.0,500.0,-716.8,0.33
264,4.0,-1000.0,-400.0,500.0,400.0,-716.8,0.33
265,4.0,-1000.0,-400.0,500.0,300.0,-760.8,0.33
266,4.0,-1000.0,-400.0,500.0,200.0,-727.8,0.34
267,4.0,-1000.0,-400.0,500.0,150.0,-355.79999999999995,0.35
268,4.0,-1000.0,-400.0,500.0,125.0,-253.79999999999995,0.35
269,4.0,-1000.0,-400.0,500.0,0.0,-196.79999999999995,0.35
270,4.0,-1000.0,-400.0,400.0,1000.0,-812.8,0.33
271,4.0,-1000.0,-400.0,400.0,600.0,-812.8,0.33
272,4.0,-1000.0,-400.0,400.0,500.0,-812.8,0.33
273,4.0,-1000.0,-400.0,400.0,400.0,-812.8,0.33
274,4.0,-1000.0,-400.0,400.0,300.0,-856.8,0.33
275,4.0,-1000.0,-400.0,400.0,200.0,-823.8,0.34
276,4.0,-1000.0,-400.0,400.0,150.0,-451.79999999999995,0.35
277,4.0,-1000.0,-400.0,400.0,125.0,-349.79999999999995,0.35
278,4.0,-1000.0,-400.0,400.0,0.0,-292.79999999999995,0.35
279,4.0,-1000.0,-400.0,300.0,1000.0,-762.8,0.34
280,4.0,-1000.0,-400.0,300.0,600.0,-762.8,0.34
281,4.0,-1000.0,-400.0,300.0,500.0,-762.8,0.34
282,4.0,-1000.0,-400.0,300.0,400.0,-762.8,0.34
283,4.0,-1000.0,-400.0,300.0,300.0,-806.8,0.34
284,4.0,-1000.0,-400.0,300.0,200.0,-773.8,0.34
285,4.0,-1000.0,-400.0,300.0,150.0,-401.79999999999995,0.36
286,4.0,-1000.0,-400.0,300.0,125.0,-299.79999999999995,0.36
287,4.0,-1000.0,-400.0,300.0,0.0,-242.79999999999995,0.36
288,4.0,-1000.0,-400.0,200.0,1000.0,-658.8,0.36
289,4.0,-1000.0,-400.0,200.0,600.0,-658.8,0.36
290,4.0,-1000.0,-400.0,200.0,500.0,-658.8,0.36
291,4.0,-1000.0,-400.0,200.0,400.0,-658.8,0.36
292,4.0,-1000.0,-400.0,200.0,300.0,-702.8,0.36
293,4.0,-1000.0,-400.0,200.0,200.0,-669.8,0.37
294,4.0,-1000.0,-400.0,200.0,150.0,-297.79999999999995,0.4
